Region,Event,Player,Team Abbreviated,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,CW,CP,KMax,K,D,A,FK,FD
Americas,Champions Tour 2024: Americas Stage 2,moose,C9,Cloud9,277,0.93,165.9,0.92,0.65,115.1,0.6,0.12,0.09,0.06,0.25,0.17,8/48,8,48,18,166,181,32,25,18
Americas,Champions Tour 2024: Americas Stage 2,Victor,NRG,NRG Esports,215,0.92,214.7,0.98,0.67,139.6,0.75,0.17,0.2,0.24,0.25,0.17,1/6,1,66,23,161,165,37,43,51
Americas,Champions Tour 2024: Americas Stage 2,Boostio,100T,100 Thieves,411,0.9,187.7,0.84,0.7,131.5,0.63,0.28,0.08,0.11,0.24,0.13,5/39,5,39,21,260,309,117,34,45
Americas,Champions Tour 2024: Americas Stage 2,Xeppaa,C9,Cloud9,277,0.9,175.4,0.78,0.73,120.3,0.56,0.39,0.05,0.09,0.26,0.24,5/21,5,21,18,156,200,109,14,25
Americas,Champions Tour 2024: Americas Stage 2,NaturE,EG,Evil Geniuses,242,0.89,163.5,0.78,0.72,107.4,0.57,0.36,0.06,0.06,0.32,0.14,5/37,5,37,19,137,175,86,15,15
Americas,Champions Tour 2024: Americas Stage 2,liazzi,MIBR,MIBR,225,0.89,172.1,0.87,0.7,115,0.61,0.25,0.05,0.07,0.32,0.12,3/26,3,26,19,138,158,57,12,16
Americas,Champions Tour 2024: Americas Stage 2,tuyz,LOUD,LOUD,299,0.89,175.5,0.9,0.7,117.3,0.64,0.23,0.08,0.13,0.27,0.06,2/34,2,34,22,190,210,70,25,38
Americas,Champions Tour 2024: Americas Stage 2,Palla,MIBR,MIBR,183,0.88,221.1,0.85,0.63,142.3,0.73,0.15,0.22,0.2,0.27,0.18,2/11,2,11,18,134,157,27,41,37
Americas,Champions Tour 2024: Americas Stage 2,saadhak,LOUD,LOUD,299,0.88,192.8,0.8,0.69,126.8,0.61,0.37,0.1,0.15,0.22,0.23,5/22,5,22,20,183,229,110,31,46
Americas,Champions Tour 2024: Americas Stage 2,vanity,C9,Cloud9,277,0.87,177.4,0.84,0.66,118.5,0.62,0.31,0.1,0.13,0.21,0.1,4/39,4,39,21,173,205,85,27,36
Americas,Champions Tour 2024: Americas Stage 2,runi,C9,Cloud9,277,0.87,162,0.78,0.7,107.7,0.55,0.3,0.05,0.05,0.32,0.09,4/43,4,43,22,151,194,83,13,15
Americas,Champions Tour 2024: Americas Stage 2,ShahZaM,MIBR,MIBR,42,0.85,172.5,0.79,0.74,124.2,0.55,0.33,0.07,0.1,0.24,0.17,1/6,1,66,12,23,29,14,3,4
Americas,Champions Tour 2024: Americas Stage 2,mta,KRÜ,KRÜ Esports,445,0.85,162.9,0.78,0.67,111.8,0.57,0.22,0.07,0.08,0.33,0.07,3/44,3,44,22,255,327,100,30,34
Americas,Champions Tour 2024: Americas Stage 2,FiNESSE,NRG,NRG Esports,215,0.81,158.1,0.71,0.64,105.5,0.54,0.28,0.08,0.04,0.19,0.12,3/25,3,25,18,116,163,60,17,9
Americas,Champions Tour 2024: Americas Stage 2,Apoth,EG,Evil Geniuses,242,0.78,150.6,0.68,0.62,102.4,0.5,0.26,0.07,0.14,0.32,0.16,4/25,4,25,18,121,179,63,17,33
Americas,Champions Tour 2024: Americas Stage 2,xand,FUR,FURIA,241,0.73,139.4,0.65,0.7,94.7,0.49,0.34,0.07,0.13,0.29,0.08,2/25,2,25,18,119,183,83,18,32
Americas,Champions Tour 2024: Americas Stage 2,Klaus,KRÜ,KRÜ Esports,47,0.7,127,0.59,0.64,92.6,0.43,0.23,0.09,0.13,0.27,0,0/3,0,33,12,20,34,11,4,6
Americas,Champions Tour 2024: Americas Stage 2,Pa1nt,MIBR,MIBR,42,0.61,140.5,0.54,0.64,101.3,0.45,0.29,0.1,0.21,0.24,0,0/1,0,11,11,19,35,12,4,9
International,Champions Tour 2024: Masters Madrid,N4RRATE,KC,Karmine Corp,157,1.27,245.7,1.27,0.73,163.7,0.84,0.41,0.12,0.1,0.26,0.21,4/19,4,19,27,132,104,65,19,16
International,Champions Tour 2024: Masters Madrid,Less,LOUD,LOUD,250,1.21,213.2,1.32,0.8,155.1,0.78,0.32,0.09,0.08,0.3,0.03,1/35,1,35,27,195,148,80,23,20
